=======================================================================================
STRINGS DATA FILE
=======================================================================================

=======================================================================================
*BEGIN*
=======================================================================================

Language Version 1                                     := (English)
GeneralReports 17                                      := Planet Types
GeneralReports 18                                      := Load Error
GeneralReports 19                                      := Unable to open
GeneralReports 20                                      := One Turn's Worth
GeneralReports 21                                      := Select Amount to Add
GeneralReports 22                                      := Amount
GeneralReports 23                                      := Select Source Address
GeneralReports 24                                      := IP Addresses
GeneralReports 25                                      := Select Host Address
GeneralReports 26                                      := Select Player Name
GeneralReports 27                                      := Player Names
GeneralSmallReports 1                                  := Cargo Space
GeneralSmallReports 2                                  := Facilities
GeneralSmallReports 3                                  := Rate
GeneralSmallReports 4                                  := Under Constr.
GeneralSmallReports 5                                  := Time Remaining
GeneralSmallReports 6                                  := Multi-Add
GeneralSmallReports 7                                  := Construction Queues
GeneralSmallReports 8                                  := mT
GeneralSmallReports 9                                  := kT
GeneralSmallReports 10                                 := Cost
GeneralSmallReports 11                                 := Size
GeneralSmallReports 12                                 := Damage Resistance
GeneralSmallReports 13                                 := Supplies Used
GeneralSmallReports 14                                 := Vehicle Types
GeneralSmallReports 15                                 := Mount Used
GeneralSmallReports 16                                 := Weapon Type
GeneralSmallReports 17                                 := (Speed
GeneralSmallReports 18                                 := Can Target
GeneralSmallReports 19                                 := Fire Rate
GeneralSmallReports 20                                 := Damage Type
GeneralSmallReports 21                                 := Seeker Dmg Res
GeneralSmallReports 22                                 := Damage At Range
GeneralSmallReports 23                                 := Abilities
GeneralSmallReports 24                                 := Vehicle Type
GeneralSmallReports 25                                 := Expected Results
GeneralSmallReports 26                                 := Tech Areas
GeneralSmallReports 27                                 := Vehicle Sizes
GeneralSmallReports 28                                 := Components
GeneralSmallReports 29                                 := Facilities
GeneralSmallReports 30                                 := Intelligence Projects
GeneralSmallReports 31                                 := Weapon Mounts
GeneralSmallReports 32                                 := None
GeneralSmallReports 33                                 := Treaty
GeneralSmallReports 34                                 := Trade
GeneralSmallReports 35                                 := Mood
GeneralSmallReports 36                                 := Alliance
GeneralSmallReports 37                                 := Message Sent
GeneralSmallReports 38                                 := Offered
GeneralSmallReports 39                                 := Gift
GeneralSmallReports 40                                 := Tribute
GeneralSmallReports 41                                 := Proposed Treaty
GeneralSmallReports 42                                 := Trade Amount
GeneralSmallReports 43                                 := Tariff Received
GeneralSmallReports 44                                 := Tariff Given
GeneralSmallReports 45                                 := L
GeneralSmallReports 46                                 := Code
GeneralSmallReports 47                                 := Construction Cost
GeneralSmallReports 48                                 := Tonnage
GeneralSmallReports 49                                 := Shields
GeneralSmallReports 50                                 := Supply Usage
GeneralSmallReports 51                                 := Weapon Damage
GeneralSmallReports 52                                 := Weapon To-Hit Modifier
GeneralSmallReports 53                                 := Weapon Range Modifier
GeneralSmallReports 54                                 := Vehicle Size Minimum
GeneralSmallReports 55                                 := Vehicle Size Maximum
Global 1                                               := Gold
Global 2                                               := http://www.malfador.com
Global 3                                               := 
Global 4                                               := 
Global 5                                               := 
Global 6                                               := 
Global 7                                               := 
Global 8                                               := 
Global 9                                               := 
Global 10                                              := 
Global 11                                              := 
Global 12                                              := 
Global 13                                              := NewGame
Global 14                                              := 
Global 15                                              := 
Global 16                                              := 
Global 17                                              := 
Global 18                                              := 
Global 19                                              := 
Global 20                                              := 
Global 21                                              := 
Global 22                                              := 
Global 23                                              := 
Global 24                                              := 
Global 25                                              := 
Global 26                                              := 
Global 27                                              := 
Global 28                                              := 
Global 29                                              := 
Global 30                                              := 
Global 31                                              := 
Global 32                                              := 
Global 33                                              := 
Global 34                                              := 
Global 35                                              := 
Global 36                                              := 
Global 37                                              := 
Global 38                                              := 
Global 39                                              := 
Global 40                                              := 
Global 41                                              := 
Global 42                                              := 
Global 43                                              := 
Global 44                                              := 
Global 45                                              := 
Global 46                                              := 
Global 47                                              := 
Global 48                                              := 
Global 49                                              := 
Global 50                                              := 
Global 51                                              := 
Global 52                                              := 
Global 53                                              := 
Global 54                                              := 
Global 55                                              := 
Global 56                                              := 
Global 57                                              := 
Global 58                                              := 
Global 59                                              := 
Global 60                                              := 
Global 61                                              := 
Global 62                                              := 
Global 63                                              := 
Global 64                                              := 
Global 65                                              := 
Global 66                                              := 
Global 67                                              := 
Global 68                                              := 
Global 69                                              := 
Global 70                                              := 
Global 71                                              := 
Global 72                                              := 
Global 73                                              := 
Global 74                                              := 
Global 75                                              := 
Global 76                                              := 
Global 77                                              := 
Global 78                                              := 
Global 79                                              := 
Global 80                                              := 
Global 81                                              := 
Global 82                                              := 
Global 83                                              := 
Global 84                                              := 
Global 85                                              := 
Global 86                                              := 
Global 87                                              := amonkrie
Global 88                                              := cuecappa
Global 89                                              := drushocka
Global 90                                              := eee
Global 91                                              := jraenar
Global 92                                              := phong
Global 93                                              := terran
Global 94                                              := ukratal
Global 95                                              := Minerals
Global 96                                              := Organics
Global 97                                              := Radioactives
Global 98                                              := Research
Global 99                                              := Intelligence
Global 100                                             := None
Global 101                                             := Direct Fire
Global 102                                             := Seeking
Global 103                                             := Point-Defense
Global 104                                             := Warhead
Global 105                                             := Any
Global 106                                             := Population
Global 107                                             := Troops
Global 108                                             := Fighters
Global 109                                             := Mines
Global 110                                             := Satellites
Global 111                                             := Drones
Global 112                                             := Weapon Platforms
Global 113                                             := Normal
Global 114                                             := Shields Only
Global 115                                             := Skips All Shields
Global 116                                             := Only Engines
Global 117                                             := Only Weapons
Global 118                                             := Plague Level 1
Global 119                                             := Plague Level 2
Global 120                                             := Plague Level 3
Global 121                                             := Plague Level 4
Global 122                                             := Plague Level 5
Global 123                                             := Only Planet Population
Global 124                                             := Only Planet Conditions
Global 125                                             := Only Resupply Depots
Global 126                                             := Only Spaceports
Global 127                                             := Pushes Target
Global 128                                             := Pulls Target
Global 129                                             := Random Target Movement
Global 130                                             := Only Shield Generators
Global 131                                             := Only Boarding Parties
Global 132                                             := Only Security Stations
Global 133                                             := Only Planet Destroyers
Global 134                                             := Skips Armor
Global 135                                             := Skips Shields And Armor
Global 136                                             := Quad Damage To Shields
Global 137                                             := Increase Reload Time
Global 138                                             := Disrupt Reload Time
Global 139                                             := Crew Conversion
Global 140                                             := Skips Normal Shields
Global 141                                             := Only Master Computers
Global 142                                             := Double Damage To Shields
Global 143                                             := Half Damage To Shields
Global 144                                             := Quarter Damage To Shields
Global 145                                             := Attack Ship
Global 146                                             := Defense Ship
Global 147                                             := Attack Base
Global 148                                             := Defense Base
Global 149                                             := Base Space Yard
Global 150                                             := Population Transport
Global 151                                             := Troop Transport
Global 152                                             := Carrier
Global 153                                             := Colony (Rock)
Global 154                                             := Colony (Ice)
Global 155                                             := Colony (Gas)
Global 156                                             := Mine Layer
Global 157                                             := Mine Sweeper
Global 158                                             := Boarding Ship
Global 159                                             := Open Warp Point
Global 160                                             := Close Warp Point
Global 161                                             := Create Planet
Global 162                                             := Destroy Planet
Global 163                                             := Create Star
Global 164                                             := Destroy Star
Global 165                                             := Create Storm
Global 166                                             := Destroy Storm
Global 167                                             := Space Yard Ship
Global 168                                             := Mine
Global 169                                             := Satellite
Global 170                                             := Weapon Platform
Global 171                                             := Troop
Global 172                                             := Fighter
Global 173                                             := Create Black Hole
Global 174                                             := Destroy Black Hole
Global 175                                             := Create Nebulae
Global 176                                             := Destroy Nebulae
Global 177                                             := Satellite Layer
Global 178                                             := Kamikaze Attack Ship
Global 179                                             := Recon Satellite
Global 180                                             := Cargo Transport
Global 181                                             := Anti-Planet Drone
Global 182                                             := Anti-Ship Drone
Global 183                                             := Drone Carrier
Global 184                                             := Beams
Global 185                                             := Torpedoes\Beams
Global 186                                             := Plasma\Beams
Global 187                                             := Missiles\Beams
Global 188                                             := High Energy\Beams
Global 189                                             := Phased Energy\Beams
Global 190                                             := Shield Dmg\Beams
Global 191                                             := Engine Dmg\Beams
Global 192                                             := Weapon Dmg\Beams
Global 193                                             := Gravitational\Beams
Global 194                                             := Planet Killer\Beams
Global 195                                             := Torpedoes\Missiles
Global 196                                             := Plasma\Torpedoes
Global 197                                             := Missiles\Torpedoes
Global 198                                             := High Energy\Missiles
Global 199                                             := Shield Dmg\Torpedoes
Global 200                                             := Engine Dmg\Torpedoes
Global 201                                             := Weapon Dmg\Torpedoes
Global 202                                             := Gravitational\Torpedoes
Global 203                                             := Planet Killer\Torpedoes
Global 204                                             := Torpedoes\Plasma
Global 205                                             := High Energy\Plasma
Global 206                                             := Shield Dmg\Missiles
Global 207                                             := Engine Dmg\Missiles
Global 208                                             := Weapon Dmg\Missiles
Global 209                                             := Gravitational\Missiles
Global 210                                             := Planet Killer\Missiles
Global 211                                             := Shield Dmg\Plasma
Global 212                                             := Engine Dmg\Plasma
Global 213                                             := Weapon Dmg\Plasma
Global 214                                             := Gravitational\Plasma
Global 215                                             := Planet Killer\Plasma
Global 216                                             := Move To
Global 217                                             := Move To Waypoint
Global 218                                             := Warp
Global 219                                             := Colonize
Global 220                                             := Explore
Global 221                                             := Load Cargo
Global 222                                             := Drop Cargo
Global 223                                             := Attack
Global 224                                             := Scrap / Analyze / Mothball
Global 225                                             := Seek
Global 226                                             := Lay Mines
Global 227                                             := Sweep Mines
Global 228                                             := Render Medical Aid
Global 229                                             := Sentry
Global 230                                             := Fleet Transfer
Global 231                                             := Remove from Fleet
Global 232                                             := Resupply at Nearest
Global 233                                             := Repair at Nearest
Global 234                                             := Clear Orders
Global 235                                             := Build Queue
Global 236                                             := Cargo Transfer
Global 237                                             := Launch/Recover Units
Global 238                                             := Launch Units Remotely
Global 239                                             := Recover Units Remotely
Global 240                                             := View Orders
Global 241                                             := Change Name
Global 242                                             := Set Patrol
Global 243                                             := Repeat Orders
Global 244                                             := Stellar Manipulation
Global 245                                             := Change Formation\Strategy
Global 246                                             := Deconstruct & Analyze
Global 247                                             := Mothball
Global 248                                             := Unmothball
Global 249                                             := Self-Destruct
Global 250                                             := Fire On And Destroy
Global 251                                             := Join Fleet
Global 252                                             := Jettison Cargo
Global 253                                             := Scrap Facility
Global 254                                             := Cloak
Global 255                                             := Decloak
Global 256                                             := Retrofit
Global 257                                             := Play Movement Log
Global 258                                             := Play Movement Log Stepped
Global 259                                             := Play Movement Log For All Ships
Global 260                                             := Rewind Movement Log
Global 261                                             := Toggle Minister Control
Global 262                                             := Use Component
Global 263                                             := Use Facility
Global 264                                             := Abandon Planet
Global 265                                             := Convert Resources
Global 266                                             := Stellar Construction
Global 267                                             := Physical Strength
Global 268                                             := Cunning
Global 269                                             := Environmental Resistance
Global 270                                             := Reproduction
Global 271                                             := Happiness
Global 272                                             := Aggressiveness
Global 273                                             := Defensiveness
Global 274                                             := Political Savvy
Global 275                                             := Mining Aptitude
Global 276                                             := Farming Aptitude
Global 277                                             := Refining Aptitude
Global 278                                             := Construction Aptitude
Global 279                                             := Repair Aptitude
Global 280                                             := Maintenance Aptitude
Global 281                                             := EM Active
Global 282                                             := EM Passive
Global 283                                             := Psychic
Global 284                                             := Gravitic
Global 285                                             := Temporal
Global 286                                             := M
Global 287                                             := B
Global 288                                             := kT
Global 289                                             := mT
Global 290                                             := Novice
Global 291                                             := Experienced
Global 292                                             := Veteran
Global 293                                             := Elite
Global 294                                             := Legendary
Global 295                                             := coordinates (
Global 296                                             := I
Global 297                                             := II
Global 298                                             := III
Global 299                                             := IV
Global 300                                             := V
Global 301                                             := VI
Global 302                                             := VII
Global 303                                             := VIII
Global 304                                             := IX
Global 305                                             := X
Global 306                                             := XI
Global 307                                             := XII
Global 308                                             := XIII
Global 309                                             := XIV
Global 310                                             := XV
Global 311                                             := XVI
Global 312                                             := XVII
Global 313                                             := XVIII
Global 314                                             := XIX
Global 315                                             := XX
Global 316                                             := XXI
Global 317                                             := XXII
Global 318                                             := XXIII
Global 319                                             := XXIV
Global 320                                             := XXV
Global 321                                             := XXVI
Global 322                                             := XXVII
Global 323                                             := XXVIII
Global 324                                             := XXIX
Global 325                                             := XXX
Global 326                                             := Alpha
Global 327                                             := Beta
Global 328                                             := Gamma
Global 329                                             := Delta
Global 330                                             := Epsilon
Global 331                                             := Zeta
Global 332                                             := Eta
Global 333                                             := Theta
Global 334                                             := Iota
Global 335                                             := Kappa
Global 336                                             := 0th
Global 337                                             := 1st
Global 338                                             := 2nd
Global 339                                             := 3rd
Global 340                                             := th
Global 341                                             := s
Global 342                                             := terrible
Global 343                                             := horrible
Global 344                                             := horrendous
Global 345                                             := vicious
Global 346                                             := heinous
Global 347                                             := dispicable
Global 348                                             := deplorable
Global 349                                             := unthinkable
Global 350                                             := unforgivable
Global 351                                             := s and host
Happiness 1                                            := Homeworld Lost
Happiness 2                                            := Any Planet Lost
Happiness 3                                            := Any Planet Colonized
Happiness 4                                            := Any Our Planet Captured
Happiness 5                                            := Any Enemy Planet Captured
Happiness 6                                            := Any Ship Lost
Happiness 7                                            := Any Ship Constructed
Happiness 8                                            := New Treaty War
Happiness 9                                            := New Treaty Non Intercourse
Happiness 10                                           := New Treaty None
Happiness 11                                           := New Treaty Non Aggression
Happiness 12                                           := New Treaty Subjugated (Sub)
Happiness 13                                           := New Treaty Protectorate (Sub)
Happiness 14                                           := New Treaty Subjugated (Dom)
Happiness 15                                           := New Treaty Protectorate (Dom)
Happiness 16                                           := New Treaty Trade
Happiness 17                                           := New Treaty Trade and Research
Happiness 18                                           := New Treaty Military Alliance
Happiness 19                                           := New Treaty Partnership
Happiness 20                                           := Battle in System - Win
Happiness 21                                           := Battle in System - Loss
Happiness 22                                           := Battle in System - Stalemate
Happiness 23                                           := Battle in Sector - Win
Happiness 24                                           := Battle in Sector - Loss
Happiness 25                                           := Battle in Sector - Stalemate
Happiness 26                                           := Enemy Ship in System
Happiness 27                                           := Enemy Ship in Sector
Happiness 28                                           := Our Ship in Sector
Happiness 29                                           := Our Ship in System
Happiness 30                                           := Enemy Troops on Planet
Happiness 31                                           := Our Troops on Planet
Happiness 32                                           := 1M Population Killed
Happiness 33                                           := Ship Lost in System
Happiness 34                                           := Ship Constructed
Happiness 35                                           := Facility Constructed
Happiness 36                                           := Planet Plagued
Happiness 37                                           := Natural Decrease
Happiness 38                                           := Natural Decrease for Other Races
Happiness 39                                           := Happiness File Errors:
Happiness 40                                           := Name
Happiness 41                                           := Description
Happiness 42                                           := Max Positive Anger Change
Happiness 43                                           := Max Negative Anger Change
HistoryStatistics 1                                    := 
HistoryStatistics 2                                    := 
HistoryStatistics 3                                    := established.
HistoryStatistics 4                                    := Treaty broken.
HistoryStatistics 5                                    := War breaks out.
HistoryStatistics 6                                    := They Surrender.
HistoryStatistics 7                                    := We Surrender.
HistoryStatistics 8                                    := Empire destroyed.
HistoryStatistics 9                                    := Contact established.
HistoryStatistics 10                                   := Contact lost.
HistoryStatistics 11                                   := Date     Header                                   Text
Hotkeys 1                                              := Main Window - Commands
Hotkeys 2                                              := Main Window - Orders 1
Hotkeys 3                                              := Main Window - Orders 2
Hotkeys 4                                              := Main Window - Selection
Hotkeys 5                                              := Tactical Combat
Hotkeys 6                                              := All Windows
Hotkeys 7                                              := F1                 - Help
Hotkeys 8                                              := F2                 - Game Menu
Hotkeys 9                                              := F3                 - Designs
Hotkeys 10                                             := F4                 - Planets
Hotkeys 11                                             := F5                 - Colonies
Hotkeys 12                                             := F6                 - Ships \ Units
Hotkeys 13                                             := F7                 - Construction Queues
Hotkeys 14                                             := F8                 - Research
Hotkeys 15                                             := F9                 - Empires
Hotkeys 16                                             := F10                - Log
Hotkeys 17                                             := F11                - Empire Status
Hotkeys 18                                             := F12                - End Turn
Hotkeys 19                                             := M                  - MoveTo
Hotkeys 20                                             := W                  - Warp
Hotkeys 21                                             := Alt 0 to 9         - Set Waypoint # in sector
Hotkeys 22                                             := Ctrl 0 to 9        - Move to Waypoint #
Hotkeys 23                                             := C                  - Colonize
Hotkeys 24                                             := A                  - Attack
Hotkeys 25                                             := F                  - Fleet Transfer
Hotkeys 26                                             := S                  - Resupply
Hotkeys 27                                             := R                  - Repair
Hotkeys 28                                             := Backspace          - Clear Orders
Hotkeys 29                                             := Del                - Clear Orders
Hotkeys 30                                             := Q                  - Set Build Queue
Hotkeys 31                                             := T                  - Cargo Transfer
Hotkeys 32                                             := U                  - Launch / Recover Units
Hotkeys 33                                             := L                  - Load Cargo
Hotkeys 34                                             := D                  - Drop Cargo
Hotkeys 35                                             := I                  - Launch Units Remotely
Hotkeys 36                                             := O                  - Recover Units Remotely
Hotkeys 37                                             := Y                  - Sentry
Hotkeys 38                                             := E                  - Explore
Hotkeys 39                                             := P                  - Set Patrol
Hotkeys 40                                             := K                  - Repeat Orders
Hotkeys 41                                             := B                  - Stellar Manipulations
Hotkeys 42                                             := V                  - View Orders
Hotkeys 43                                             := G                  - Scrap / Analyze / Mothball
Hotkeys 44                                             := H                  - Change Formation / Strategy
Hotkeys 45                                             := N                  - Change Name
Hotkeys 46                                             := J                  - Jettison Cargo
Hotkeys 47                                             := Z                  - Cloak
Hotkeys 48                                             := X                  - Decloak
Hotkeys 49                                             := Ctrl M             - Sweep Mines
Hotkeys 50                                             := Ctrl T             - Add Tagged Minefield
Hotkeys 51                                             := Ctrl R             - Remove Tagged Minefield
Hotkeys 52                                             := Ctrl A             - Abandon Planet
Hotkeys 53                                             := Ctrl V             - Convert Resources
Hotkeys 54                                             := Ctrl W             - Move To Waypoint
Hotkeys 55                                             := Ctrl Y             - Toggle Minister
Hotkeys 56                                             := Ctrl Z             - Use Component
Hotkeys 57                                             := Ctrl J             - Use Facility
Hotkeys 58                                             := Ctrl K             - Scrap Facility
Hotkeys 59                                             := Spacebar           - Next Ship
Hotkeys 60                                             := Ctrl N             - Next Ship
Hotkeys 61                                             := Ctrl B             - Previous Ship
Hotkeys 62                                             := Ctrl F             - Next Fleet
Hotkeys 63                                             := Ctrl D             - Previous Fleet
Hotkeys 64                                             := Ctrl C             - Next Colony
Hotkeys 65                                             := Ctrl X             - Previous Colony
Hotkeys 66                                             := Ctrl P             - Move Log Replay Full
Hotkeys 67                                             := Ctrl O             - Move Log Replay Rewind
Hotkeys 68                                             := Ctrl I             - Move Log Replay Single Step
Hotkeys 69                                             := Ctrl U             - Move Log Replay Follow Ship
Hotkeys 70                                             := Ctrl L             - Toggle: Movement Lines
Hotkeys 71                                             := Ctrl S             - Toggle: Sound
Hotkeys 72                                             := Ctrl H             - Show the Tutorial Window
Hotkeys 73                                             := Shift + Click      - Select Multiples in Ship List
Hotkeys 74                                             := Shift + A          - Select All Ships in Ship List
Hotkeys 75                                             := Shift + C          - Clear All Selected Ships
Hotkeys 76                                             := Alt 0 to 9   - Set Group # Leader
Hotkeys 77                                             := Ctrl 0 to 9  - Set Group # Member
Hotkeys 78                                             := L            - Launch Units
Hotkeys 79                                             := T            - Drop Troops
Hotkeys 80                                             := R            - Ram Ship
Hotkeys 81                                             := C            - Capture Ship
Hotkeys 82                                             := E            - End Combat Turn
Hotkeys 83                                             := Space        - Next Ship with Movement
Hotkeys 84                                             := Ctrl N       - Next Ship with Movement
Hotkeys 85                                             := Ctrl B       - Previous Ship with Movement
Hotkeys 86                                             := Ctrl F       - Next Ship which can Fire
Hotkeys 87                                             := Ctrl D       - Previous Ship which can Fire
Hotkeys 88                                             := Shift + A    - Select All Available Weapons
Hotkeys 89                                             := Shift + C    - Clear All Selected Weapons
Hotkeys 90                                             := Escape - Close Window, Cancel Window
Hotkeys 91                                             := Return - Close Window
Hotkeys 92                                             := Y      - Yes
Hotkeys 93                                             := N      - No
Hotkeys 94                                             := Key F2
Hotkeys 95                                             := Key F5
Hotkeys 96                                             := Key F4
Hotkeys 97                                             := Key F6
Hotkeys 98                                             := Key F3
Hotkeys 99                                             := Key F11
Hotkeys 100                                            := Key F8
Hotkeys 101                                            := Key F9
Hotkeys 102                                            := Key F10
Hotkeys 103                                            := Key F7
Hotkeys 104                                            := Key F1
Hotkeys 105                                            := Key F12
Hotkeys 106                                            := Key M
Hotkeys 107                                            := Ctrl W
Hotkeys 108                                            := Key C
Hotkeys 109                                            := Key E
Hotkeys 110                                            := Key A
Hotkeys 111                                            := Key W
Hotkeys 112                                            := Key F
Hotkeys 113                                            := Key S
Hotkeys 114                                            := Key R
Hotkeys 115                                            := Key Del
Hotkeys 116                                            := Key Q
Hotkeys 117                                            := Key Y
Hotkeys 118                                            := Key P
Hotkeys 119                                            := Key K
Hotkeys 120                                            := Key I
Hotkeys 121                                            := Key O
Hotkeys 122                                            := Key G
Hotkeys 123                                            := Key L
Hotkeys 124                                            := Key D
Hotkeys 125                                            := Ctrl Y
Hotkeys 126                                            := Key H
Hotkeys 127                                            := Ctrl A
Hotkeys 128                                            := Key B
Hotkeys 129                                            := Ctrl M
Hotkeys 130                                            := Ctrl Z
Hotkeys 131                                            := Ctrl J
Hotkeys 132                                            := Key J
Hotkeys 133                                            := Ctrl K
Hotkeys 134                                            := Key Z
Hotkeys 135                                            := Key X
Hotkeys 136                                            := Key N
Hotkeys 137                                            := Key V
Hotkeys 138                                            := Ctrl V
Hotkeys 139                                            := Ctrl P
Hotkeys 140                                            := Ctrl U
Hotkeys 141                                            := Ctrl I
Hotkeys 142                                            := Ctrl O
Hotkeys 143                                            := Key U
Hotkeys 144                                            := Key T
IntelligenceExecution 1                                := Intelligence Minister:
IntelligenceExecution 2                                := We suspect the
IntelligenceExecution 3                                := of this
IntelligenceExecution 4                                := act.
IntelligenceExecution 5                                := Unfortunately, our intelligence project has failed, sire.
